species,number,tail,perch site,pheight,pdiameter,pangle,m5m,time.moving,dm5m,fid,tactics,dmbs
gundlachi,1.1,y,trunk,316,83,90,3,3,25,76,run,76
gundlachi,2,y,building,250,10.5,90,0,0,0,126,squirelling,5
gundlachi,3,y,trunk,79,6,10,0,0,0,320,squirelling,48
gundlachi,5,y,trunk,110,54,90,0,0,0,114,run,25
gundlachi,7,y,trunk,298,48.5,90,2,2,9.1,0,squirelling,5
gundlachi,8,y,trunk,178,106,90,0,0,0,52,squirelling,83
gundlachi,9,y,trunk,148,47.5,90,0,0,0,125,squirelling,102
gundlachi,15,y,trunk,210.5,55.5,90,0,0,0,18,squirelling,239.5
gundlachi,21,y,vine,165,14,90,17,23,57.5,86,jump,32
gundlachi,23,y,trunk,70.5,51,90,12,12,127.9,50,run,57
gundlachi,24,y,trunk,106.5,138,90,0,0,0,97,squirelling,86
gundlachi,25,y,trunk,147,15.8,90,0,0,0,182,squirelling,99
gundlachi,32,y,trunk,103,3.8,90,0,0,0,,,
gundlachi,33.1,y,trunk,242,25.5,90,7,13,13.5,320,squirelling,50
gundlachi,41,y,trunk,135.5,52,90,0,0,0,170,squirelling,96
gundlachi,43,y,trunk,63,19,67.1,0,0,0,319,squirelling,89
gundlachi,45,y,trunk,71.5,198,90,0,0,0,256,squirelling,65
gundlachi,48,y,trunk,134.5,4,90,0,0,0,75,jump,38
gundlachi,49,y,trunk,89,112,90,1,4,35,,,0
gundlachi,53.1,y,trunk,189,102.5,90,0,0,0,200,squirelling,69
gundlachi,54,y,trunk,147.5,152,71.9,3,3,3,,,
gundlachi,29,n,trunk,229,30,90,24,42,168,2,run,31.5
gundlachi,33,n,trunk,176,6.5,90,0,0,0,83.5,jump,23
gundlachi,34,n,vine,143.5,6,90,0,0,0,304,run,73
gundlachi,42,n,trunk,174,64.5,90,5,5,41,264,squirelling,
gundlachi,45,n,vine,125,5,90,0,0,0,75,jump+run,35
gundlachi,49,n,trunk,138.2,43.98,90,7,8,107,102,run,6
gundlachi,53,n,trunk,320,140,90,,,,400,run,70
gundlachi,60,n,trunk,170.5,16,90,22,23,482.5,82,squirelling,7
gundlachi,63,n,trunk,560,61.5,,0,0,0,,,
gundlachi,70,n,trunk,183,61,90,13,13,61,119,squirelling,182.5
gundlachi,72,n,trunk,113,43.8,90,1,1,31.5,15.6,squirelling,73
gundlachi,74,n,trunk,186.5,16,90,1,10,47.4,216,run,85.1
gundlachi,76,n,trunk,200,127.5,90,0,0,0,135,run,28
gundlachi,78,n,trunk,255,35.8,90,1,1,3,234,run,
gundlachi,79,n,trunk,130,76.5,90,1,1,78,,,
gundlachi,83,n,trunk,72.2,20,31.4,4,3,51,98.5,jump,33.5
gundlachi,94,n,vine,159,6.8,90,6,8,75,120,run,288
gundlachi,95,n,trunk,248.5,171.5,90,3,2,60,,,0
gundlachi,96,n,trunk,477.5,56.8,90,0,0,0,,,